product_id,description,sales_history,demand_target,image_path
P70087,Oversized Grey Linen Jacket,"[309.13826648532245, 303.86110637636335, 329.43859549171304, 335.01785614378565, 328.25298365510633, 344.11266171782887, 333.54344971079735, 306.13515760043055, 288.4063759505887, 286.1720259093468, 277.25289538401427, 273.93043907231674, 283.99261232833555, 273.34608622721447, 282.97380475987904, 305.8424975054085, 319.0654261985523, 328.59625304819383, 338.11069061078194, 348.301726163381, 324.25742183599766, 311.7209942780351, 281.1210995148489, 290.7343364759508, 278.9288910290768, 262.76988665908084, 276.86711882392484, 279.13091045966866, 315.57402226364445, 278.25375861138053]",272.85,public/images/learning_set\blue_denim_jeans.png
P72453,Modern Yellow Linen Jeans,"[77.0918321206655, 76.40933582552144, 74.82736203111963, 97.06245010411112, 107.67521094498193, 91.5238906923315, 83.76096926547874, 75.66158420683001, 52.23417636149567, 80.8040552992232, 49.34131285620122, 40.55357542693983, 59.03847944569512, 69.84473808129772, 63.20535658852531, 87.30016972368925, 77.58122101038714, 96.09099595711167, 90.01232675169797, 116.52300069504591, 98.62224489622393, 81.08863180863949, 69.55313320548352, 60.85456553156929, 59.53543164002317, 39.32510046749498, 32.702882488018375, 57.10278472758243, 66.69791096790168, 51.143326892554114]",65.5,public/images/learning_set\red_leather_jacket.png
P42013,Slim Fit Green Cotton Jeans,"[326.8666455030455, 347.09129535328196, 346.42137237555465, 365.86746939243477, 352.2787586026063, 353.85502202523367, 328.3180181291051, 339.94064847278804, 333.9355339173335, 313.9020083658486, 319.6854782584814, 303.96062842640225, 310.8543724685387, 313.999977195983, 338.4563819230874, 348.51666248533866, 346.7488903432929, 357.4767023091048, 368.9937259899565, 353.61985771345195, 346.1498453095971, 347.7723959930778, 343.944320313635, 322.27987740198506, 308.1695596561222, 305.88116668736967, 311.1600606167808, 315.642695848298, 329.76665173366194, 327.41193049291064]",300.87,public/images/learning_set\floral_summer_dress.png
P78711,Vintage Yellow Linen T-Shirt,"[222.5372053056938, 220.09855253575313, 216.54995292949027, 222.20053473433984, 229.32141167279565, 230.4845039438791, 211.43923791370108, 231.06362625409207, 200.05108089994684, 174.0314970235677, 158.83243750352787, 160.32728503309698, 155.38108441599212, 171.3776701529144, 183.88861350488312, 206.04926330265369, 213.32795013371828, 227.5033820785563, 239.70359502780266, 233.30250668880828, 230.4642626463686, 199.466227954806, 210.78320842739993, 182.5828482329923, 146.26103398600577, 153.42737707109498, 154.2025554190889, 167.87461214395472, 180.32305815943494, 200.55583427316606]",237.34,public/images/learning_set\floral_summer_dress.png
P82586,Vintage Black Denim Sweater,"[328.4952105299033, 369.0144778989425, 357.09652781040785, 358.07296022320116, 367.32725700718726, 343.06654248975565, 363.0625135842304, 348.88918728306436, 337.8089545680281, 331.70076706248864, 347.76769679188794, 313.64465522204534, 344.6478700458325, 316.1641071612304, 334.1402453995802, 338.1967173364123, 351.8574397169852, 342.3574938054277, 373.29090689569364, 355.06915737144413, 352.1501573519984, 353.64056666716544, 330.05536878092164, 344.18544743002735, 333.2712866346806, 322.4852773272612, 335.1194763453238, 338.35496194550313, 341.2588405566411, 345.1828996411231]",309.52,public/images/learning_set\floral_summer_dress.png
P46867,Formal White Polyester Jacket,"[164.25319769617045, 174.46180196742097, 182.89600693835882, 181.22492453334416, 186.23448356760727, 180.86685715806988, 175.84925789836828, 179.38805128774283, 146.4841777053042, 162.42060824867912, 153.20771902479584, 148.16909768183302, 139.7348859771119, 165.46119057460723, 158.38258517591942, 159.1898153864216, 156.0713862466358, 180.11065802741277, 180.91338772412635, 189.64086458728033, 155.51606748718595, 199.70414646688224, 170.95029025264247, 138.39721946059348, 163.50944004339988, 159.63512472848353, 181.78562442461003, 169.19840821059287, 148.52362091968197, 160.21056900087467]",167.08,public/images/learning_set\blue_denim_jeans.png
P37054,Modern White Polyester Jeans,"[280.13510233522845, 292.28539564642114, 283.01206092547267, 285.94473277937954, 316.98598716177094, 310.586431821327, 276.49003466937233, 287.3852532353693, 242.81907950739793, 263.6315701271574, 226.7379459863497, 247.38195087956464, 264.8733807669911, 250.66815212688863, 259.8691666882368, 277.2598557496757, 276.388761888828, 303.7800895531397, 315.0254137312547, 297.8334438662687, 306.904560730044, 281.7753567328246, 270.4459497230396, 263.2898827378733, 249.07322690825828, 242.87211511439756, 243.84798700203675, 229.23240379736365, 249.95837939245533, 275.30764188210225]",245.15,public/images/learning_set\blue_denim_jeans.png
P31219,Oversized Blue Wool Jacket,"[222.2998861372124, 248.93583690548294, 241.13146569123174, 284.43745623113347, 264.5947400630597, 289.07585304461486, 249.5466658408564, 217.80389116207806, 230.44312918872612, 186.9699001449124, 190.4888724664008, 181.3493548364837, 193.53561472765404, 206.45291783611071, 223.39075394594573, 233.39929493708573, 237.61563775989762, 283.16840584977155, 280.47438009413156, 276.3020404658698, 254.32009359077892, 224.7188250288978, 221.0841749549079, 203.67082122144063, 185.2545073817696, 170.74113489003057, 181.00753927973787, 190.17332284764987, 216.15527477584763, 220.41868799659676]",204.27,public/images/learning_set\floral_summer_dress.png
P15290,Oversized Black Cotton Jeans,"[331.55748636441376, 333.32867168687613, 346.2680289157476, 328.97783352925023, 332.02851152998187, 344.13845253289907, 345.9484311775112, 314.5944033434692, 313.2398407094348, 310.78217196662837, 309.77201364491856, 290.1350856267872, 311.21212399834485, 311.81528447504246, 328.93407332691294, 324.98396319143404, 336.801785623249, 338.1147565972845, 359.3407475531171, 343.68640511650136, 347.34390766530294, 338.1325724320151, 321.37862615337224, 298.71388282276445, 294.819617347631, 285.6481924098227, 302.4824007154199, 314.50374837332026, 298.9980008694282, 359.67822908330186]",356.3,public/images/learning_set\blue_denim_jeans.png
P22605,Oversized Grey Silk T-Shirt,"[441.50848562301303, 448.4386517079089, 429.37287427423973, 464.5416249820028, 468.9433357202902, 459.40350363654846, 435.55808860201495, 439.6490809141836, 443.7336552727078, 434.3163130097019, 421.0834577146199, 405.180633365249, 430.57758648094494, 420.6640810552697, 422.3315093350937, 434.72553584631385, 445.47902454528423, 465.91482401845445, 428.1627997071087, 466.05289526260486, 448.270355716039, 439.56826826999554, 414.6797273599259, 413.545777949422, 418.42395540338566, 407.7076306224276, 446.1929498490453, 400.92164511122166, 415.00422810766327, 439.1143476592093]",434.97,public/images/learning_set\blue_denim_jeans.png
P70037,Slim Fit Black Denim Shorts,"[276.2943824984519, 281.5829767769509, 300.3319247467082, 305.4132730582079, 310.1606895908885, 292.5686907692831, 283.50159476554165, 265.81510225452524, 260.7510302908465, 265.14641270547236, 259.89898139679383, 244.78620645572371, 262.77508926967033, 260.69573748794824, 282.3533746667117, 292.42976986800227, 299.47099324625356, 300.9387634675809, 293.2629687004033, 332.3866244659699, 296.72127786558843, 294.4489765317765, 270.0641126557031, 261.84691241770884, 252.38685353099254, 241.64390947270226, 250.58813899913025, 270.3683031408015, 266.5438957520003, 295.80314905213703]",251.13,public/images/learning_set\blue_denim_jeans.png
P49984,Oversized Yellow Linen Sweater,"[208.02051655863843, 223.1996790975454, 220.90106623147068, 227.80998909290778, 216.05922541699368, 214.67006461276682, 234.3658509306533, 212.17168196006497, 217.86462730280118, 195.23693290229394, 216.58211328888314, 188.1620206155966, 201.91667686929637, 217.9375841698198, 220.8093179077328, 219.8940316046979, 219.92421102480975, 229.96314035172864, 239.14253924621528, 226.71440808857523, 235.9083125259987, 207.26163918196752, 198.5329851480775, 219.38951931558003, 215.43880964173593, 202.8256813732309, 210.82200217169748, 200.3600288402874, 209.11078659944917, 215.9851855952441]",258.68,public/images/learning_set\floral_summer_dress.png
P87605,Modern Grey Polyester Skirt,"[314.6547924855402, 327.562920070013, 335.9072773601152, 335.9987470666068, 337.3947528664467, 341.6043065143001, 339.40410007745936, 313.59621778443045, 301.8592219510776, 290.6759770196205, 288.2657842609317, 293.1462487739076, 297.7816436375321, 309.8444913677705, 316.2952849618949, 309.1650273365181, 310.43371106447387, 350.15534110668466, 329.72273131740855, 318.3366652330064, 310.00077327047626, 324.28441623446577, 311.4211217260042, 305.97175675113476, 282.31527380224753, 274.59258552316993, 297.666867199928, 275.3929672595693, 300.2927688736851, 319.63919673956457]",280.9,public/images/learning_set\blue_denim_jeans.png
P99129,Formal Grey Polyester Jacket,"[74.14927440016882, 90.55286988588318, 81.41782795326561, 81.26835837932661, 96.15153667329841, 87.47301991615123, 81.85078308493337, 81.68697090879824, 65.60788751616886, 69.59471928837696, 75.1904627591338, 73.58016333937336, 77.09857567562474, 83.4489662480787, 72.59825114320499, 75.8897634434561, 90.11626004638478, 85.17123300855377, 73.16152929840338, 78.99584707949738, 84.38398901192271, 94.85454047488271, 77.9050404286986, 93.59076696821495, 70.66501808732845, 79.40380728642018, 86.38212821114934, 76.21457647281586, 70.95118041411138, 65.58032682131307]",95.8,public/images/learning_set\red_leather_jacket.png
P81922,Formal Blue Polyester Shorts,"[348.30036989736084, 358.55388652794977, 371.63281765361353, 400.3542064147186, 373.51870364495363, 378.48023005833073, 368.1830789461967, 349.3764924634304, 325.51444629474105, 309.7651785767729, 290.6929077278378, 277.0915647641219, 275.0550390040118, 301.5218009806646, 342.15089854562837, 364.42476472201525, 361.10733589867004, 367.40713399380684, 396.18097986092505, 375.93560676844766, 359.5445451816455, 362.70805178960023, 322.445550469835, 309.0203532941875, 316.3108421285228, 289.24570809816527, 292.1749947512583, 303.3677076421274, 330.7196207974126, 332.22329716439583]",304.59,public/images/learning_set\floral_summer_dress.png
P12072,Casual Grey Linen Sweater,"[487.9663719227338, 512.8849438550724, 529.4977176332237, 528.6084915101966, 524.9753944284837, 522.3612274757674, 516.4445050969194, 495.3552953006425, 478.19953802776416, 441.7034742474783, 440.5983961246231, 420.37340198124093, 428.99289901245356, 466.44742236992204, 468.8894202583731, 501.3007579800378, 514.0278508104321, 523.1179448095835, 543.159883181055, 526.62698675864, 510.86095491467086, 500.2582702807457, 462.306548159438, 464.8902336213394, 430.6176780439191, 439.7229657606717, 416.2989680229454, 450.30302750960294, 455.6224357368842, 462.01294916818034]",482.15,public/images/learning_set\red_leather_jacket.png
P53447,Vintage Black Cotton Jeans,"[464.15676306544526, 450.1234323725501, 460.3979573680397, 484.79204283961326, 447.37712824234893, 457.609601446459, 455.4008989218873, 449.043809735422, 462.60160802013934, 448.5769204418447, 449.2645062532559, 441.0779599623346, 448.1081473306709, 439.0821322664899, 441.6198319162834, 452.543311646691, 463.5051619229115, 471.8265806101298, 460.51366044338835, 453.36000241299183, 476.5708292606636, 458.7316512220599, 456.8353892599767, 450.71336327833933, 440.1875263864308, 436.3601264007075, 446.9796128750804, 448.0821353793591, 449.92702793135527, 454.51073696348243]",454.0,public/images/learning_set\red_leather_jacket.png
P54646,Slim Fit Grey Denim Skirt,"[426.79448107075757, 466.9565336795186, 446.6922354749859, 477.35786234049374, 470.172053651913, 464.3986962550067, 465.1087503795722, 458.81481142979624, 434.8704129387487, 420.30764741023324, 395.37038059786033, 417.5422853687512, 404.18210139323503, 416.9251518379818, 418.0457907145954, 429.39478583184706, 463.1934280256551, 454.9996793088371, 463.9079891016414, 480.85809623690227, 464.6471346133577, 416.4180184690317, 425.8445230143626, 412.30108064812634, 404.02765286028324, 396.3909204207505, 402.0641302252394, 408.8412003138039, 404.6046040968454, 436.782067209915]",478.42,public/images/learning_set\red_leather_jacket.png
P63440,Casual Black Linen Jacket,"[106.27317748285529, 131.24689508445192, 121.20330192324214, 170.74648875043047, 135.05715985971653, 158.03222016764343, 139.84784586418536, 111.59818818232444, 98.90650238122792, 73.69133159985817, 65.72033242944269, 63.78844192420409, 76.52453407827636, 83.40880228424894, 113.5852237640688, 117.45274993586868, 130.7819345960533, 129.3536186756211, 146.9835933359301, 150.4517846661373, 140.38480314419783, 138.76554034213632, 93.7664155755465, 102.40738965413686, 103.9453449705655, 72.43345119158766, 57.65911482021939, 71.68459362612532, 110.67297349675283, 128.86861888539187]",111.51,public/images/learning_set\blue_denim_jeans.png
P51015,Casual Yellow Cotton Summer Dress,"[263.605774178664, 256.7684639807079, 252.54751437892895, 279.2372612887697, 256.3093969247081, 258.56003439238634, 260.5651281411742, 238.3603037251358, 226.2994642236503, 223.47072211875755, 239.86640913015668, 222.92539308029922, 235.32277730027425, 250.4412101072909, 240.69169964716826, 239.92864723178667, 239.6172776323724, 256.6053925374466, 270.5855270632184, 279.3934033193981, 273.3747140050417, 264.17480536931777, 248.9525537856951, 239.3578248026518, 232.78050946412748, 240.5870259877187, 250.93358478831308, 245.308801092103, 238.1124507177362, 241.36563786741604]",298.64,public/images/learning_set\floral_summer_dress.png
P64361,Oversized Green Polyester Jacket,"[43.69760158557813, 81.34334129150209, 80.32640437529689, 105.62556430912042, 87.46456816248305, 86.66926050131865, 61.82118397382942, 49.48336896659868, 42.35676442976639, 30.068253950619603, 0.0, 7.457724963489503, 0.0, 11.935804806809983, 51.067543309920545, 65.8389144051156, 79.41650457492524, 73.28371579595219, 87.61349840720491, 102.82777819463492, 71.96507161195696, 76.98219173895653, 49.840242662774386, 32.04382517386825, 15.173423203940368, 14.976313686097296, 4.92425227632418, 25.963934006140185, 37.731633744410736, 29.97237626103275]",50.26,public/images/learning_set\red_leather_jacket.png
P24190,Vintage Black Wool Sweater,"[104.02349706041439, 116.27587998792032, 143.53078866907572, 153.30842156119152, 142.9039858617343, 129.1932952586736, 125.49022524914135, 106.96807190286042, 80.20284110311847, 82.96764900725202, 70.15474902245745, 73.72417378844429, 83.04583575102122, 94.31308001009812, 93.31747111834011, 92.34606738690184, 126.07773033241152, 136.93014477996957, 143.23756400079412, 129.78562931527225, 130.89146523755534, 124.85843067714144, 103.06815310208562, 98.21945765161162, 74.78535257462048, 73.19726790329055, 74.33934490848861, 82.89827572382092, 106.187448261161, 111.58022383009602]",128.31,public/images/learning_set\red_leather_jacket.png
P55233,Modern Grey Linen T-Shirt,"[184.54419862638832, 203.7182579367581, 225.33940946081373, 226.6386849252696, 232.8669463059349, 241.0913453926467, 213.4459586754071, 193.35836625159098, 169.0350177176728, 175.10110277342307, 143.0486256712301, 142.9492745184774, 149.09346251831892, 151.8598533335612, 176.30840972540776, 202.770048415356, 216.14995284479087, 218.1568465218012, 241.42412439112564, 219.1550931355681, 221.0027677271107, 215.44381579080851, 194.5119947034979, 157.63769055970005, 137.8596408990017, 158.8701900340572, 137.32569781276004, 179.03600529005175, 165.22772053991997, 179.21903503745256]",189.07,public/images/learning_set\floral_summer_dress.png
P56004,Oversized Grey Cotton Summer Dress,"[54.38933587596249, 62.68128267964302, 66.93844992765956, 55.617686843429205, 65.85320856823037, 71.22116059861624, 53.05575673726963, 37.40850295543285, 42.05825971981138, 37.886552334721614, 25.53971126434903, 9.354126026980449, 33.239884786550036, 38.32569081160431, 43.1261337593966, 56.41965843670191, 59.680150010874584, 70.82028984138171, 80.74398829552436, 86.72985701258833, 50.21697143889209, 66.94234995653947, 63.02322498490109, 51.8917500606999, 29.67532980816663, 26.600506843622018, 17.42045409184192, 33.6579775656606, 46.75029286897843, 44.15357571030778]",44.44,public/images/learning_set\red_leather_jacket.png
P40414,Oversized Black Wool Skirt,"[352.2835023508934, 388.95996401496194, 382.27594332743587, 400.80394148750315, 389.9283929593563, 389.3410069925792, 360.6265350477305, 362.9526236887814, 338.1316554992799, 325.68610836465797, 313.1948528684421, 318.9396918266066, 296.4987583289489, 333.7808841082697, 339.056758108897, 381.70283723231546, 365.8662440653763, 407.5575237701662, 410.20347143017693, 404.84962522285264, 392.06747122965885, 368.119051415329, 345.18942745414995, 330.85396891403826, 322.0965947014188, 312.37130812538635, 315.68088310776153, 327.99144941551623, 338.00104703227373, 332.25063175134784]",354.91,public/images/learning_set\red_leather_jacket.png
P60103,Modern White Cotton Summer Dress,"[143.63000247852437, 164.55953384720507, 172.77721099870183, 183.15539227665263, 172.61989817661498, 172.9860548129579, 156.93642331660007, 150.59896569281688, 131.2619606997996, 102.29729492954499, 94.95294803385951, 98.44211892555151, 97.30143703603134, 108.23027502286781, 117.53061573196175, 131.6585192248269, 172.0248844301214, 183.1255802093577, 171.38014631170205, 174.09642334840012, 167.31289791936038, 137.93233628796997, 139.97049025701548, 119.044969300811, 128.2053912481197, 106.10300048007899, 101.04877583976923, 100.50418128856334, 116.30402531206637, 139.93920302587762]",138.53,public/images/learning_set\red_leather_jacket.png
P42503,Oversized Blue Cotton Summer Dress,"[76.05616002469954, 78.29252646025165, 88.15893144753747, 75.38724188806154, 96.1723637031205, 92.2682257712241, 66.62900931597474, 69.43895339809022, 87.17477670223289, 59.63140575381183, 77.5891456659949, 73.28496128451903, 64.90545455523689, 78.67904946805125, 70.93191619713404, 80.62835396744002, 66.2686068067652, 78.57082794198259, 81.48314135558775, 92.94355973001858, 92.73260466570542, 79.2541675547401, 64.37352229342997, 64.55638380788915, 65.61690000354706, 55.250542834314835, 66.82883418883864, 59.6327381212577, 54.30477620093261, 93.88806543623811]",75.03,public/images/learning_set\blue_denim_jeans.png
P91591,Vintage Green Silk Shorts,"[373.81135713830656, 375.99951800280667, 394.5775037608736, 388.08868500063124, 398.9471822390295, 410.9761985412938, 400.4854542715661, 389.89949374334526, 363.1993009559307, 351.38165053686924, 355.56114738206435, 354.26550887174915, 357.3990144282554, 355.27205921922746, 369.6505590992679, 376.30651191448294, 394.3469411999274, 400.67911827104376, 401.5756316965357, 405.601808474217, 399.67736996243826, 384.3392903481386, 366.7329311350667, 360.5263899439546, 354.29064586547105, 339.94021421763017, 351.65184168680236, 347.5250334283544, 370.1878045741443, 364.21664211940964]",375.24,public/images/learning_set\floral_summer_dress.png
P14066,Oversized Blue Polyester T-Shirt,"[271.8623105860153, 269.1310939466527, 329.0645995794975, 334.938606152899, 304.30250656433856, 295.49065072802404, 282.365791557074, 270.591913666585, 270.91125382318876, 233.43853913206377, 213.6036024361409, 228.34408198963658, 245.9925696650585, 242.71418222650576, 256.53132853096224, 273.05372853204835, 298.2514656450499, 311.8197020823944, 319.5210412906031, 310.0226284842013, 298.550839316443, 276.50847940951564, 266.779149097659, 259.4917104693238, 252.9840434863804, 227.63855873196988, 224.37454155184273, 244.56991741067066, 237.2094515655275, 263.14844111227603]",243.4,public/images/learning_set\red_leather_jacket.png
P53841,Slim Fit Pink Linen Jacket,"[127.53443822118614, 135.85009797577075, 125.86329350477114, 143.31951612552623, 143.97787861902478, 149.88087241013653, 147.6982167438792, 133.08447839119606, 139.78669190879677, 121.82009315309573, 117.75726341305234, 123.50155161336858, 122.5848091459534, 138.74964228596903, 129.71701773359354, 133.75270256405904, 133.50135954130474, 155.4890452972497, 144.3126168400303, 174.39516975050464, 157.23252129856797, 163.4983210211697, 119.06297567529084, 133.23197898557038, 118.34932777704516, 132.73484182889305, 139.21645036375878, 113.8261799539929, 133.73715022233708, 127.12562126788818]",122.42,public/images/learning_set\floral_summer_dress.png
P37555,Vintage Yellow Denim Skirt,"[362.97575294132594, 345.52869400915046, 379.56173211006774, 393.1093547386697, 376.9430170293517, 345.3194001206226, 370.31808877143624, 334.6870152683618, 353.71879093698203, 314.25008481599286, 332.84715265342254, 333.0866881857002, 322.04610966071505, 318.97439139032974, 334.99011764484624, 342.3486691952976, 354.43988830023136, 350.5991719669129, 389.70110445892016, 354.0531050969514, 363.79558183096054, 334.8817639041141, 345.9781255733826, 337.76348618934776, 327.9955177048161, 331.8900174443314, 351.34587313025037, 331.57448863468886, 328.50148653338294, 357.16476993487163]",312.61,public/images/learning_set\blue_denim_jeans.png
P77603,Formal Pink Cotton Summer Dress,"[207.11788222767922, 209.8509651724721, 204.3635453723252, 194.94718199748357, 198.4041713187468, 206.25651271950812, 193.2066867534719, 198.99166652851147, 181.17739075838847, 176.56407156330405, 173.227457479936, 182.63662986106038, 175.15147456569812, 191.5649475171158, 179.1440448762574, 202.6123629815716, 205.79803837780955, 191.81561116906713, 202.8168566994603, 207.31818057941666, 205.08782524553598, 200.62578564285192, 176.99856848443997, 176.34783424603896, 182.0533944686783, 161.9287181670019, 179.74981832583575, 196.45103448892115, 180.44196905367892, 191.66975426408325]",191.14,public/images/learning_set\blue_denim_jeans.png
P12802,Slim Fit Blue Denim Summer Dress,"[449.4321823625589, 470.73027406078137, 477.5458166737436, 480.1806777179052, 479.24385866873956, 495.3176229829352, 461.2520241071668, 463.7461295905328, 448.15515060087546, 440.29979200817803, 413.9296729843759, 441.30401393733695, 440.2304105242988, 435.2856874520063, 446.7741670783168, 469.43299188866166, 476.6413057194929, 492.18827145337394, 488.5288305966199, 479.5883608535999, 474.46136101692423, 458.0642548184741, 450.8595271938622, 449.13837640814506, 432.507553022412, 433.5235713934487, 427.1538838625239, 426.7839773424614, 443.5860543380277, 455.13464606847464]",548.04,public/images/learning_set\blue_denim_jeans.png
P72487,Formal Black Cotton T-Shirt,"[319.34330482890743, 330.5720274219106, 332.8418048255996, 368.8956345122683, 373.61762607450004, 332.90358755426416, 323.99463279381285, 314.1447531116311, 277.63329787505285, 259.05783523784675, 254.03873573669796, 263.6639606491179, 257.01554726292125, 288.7709812267124, 314.3355445404124, 304.82371797836316, 324.7537735507177, 342.95184355142555, 334.2519681344425, 333.1280364450662, 313.7077344339962, 308.7065837905316, 307.37973824810075, 275.4244569859841, 253.60333943869293, 259.92685630481265, 271.13001743344023, 279.3008652947635, 274.37812856771785, 300.4698900322235]",272.84,public/images/learning_set\red_leather_jacket.png
